,Compound,Date,Negative,Network,Neutral,Positive,Tweet Text,Tweets Ago
69,-0.3612,Sun Mar 04 16:42:58 +0000 2018,0.333,@FoxNews,0.667,0.0,Famous mistakes at the #Oscars https://t.co/cY2maKQSlP,70
70,0.0,Sun Mar 04 16:31:00 +0000 2018,0.0,@FoxNews,1.0,0.0,"TONIGHT on @NextRevFNC, @SteveHiltonx talks to @PeteHegseth and @kayleighmcenany - Tune in at 9p ET on Fox News Channel! https://t.co/ipNYZfaHrw",71
71,0.2901,Sun Mar 04 16:29:29 +0000 2018,0.046,@FoxNews,0.827,0.128,"Former lifelong Democrat-turned-@realDonaldTrump supporter Geno DiFabio: ""I have a billionaire businessman working for me, and I don't pay him nothing. I want him to make some decisions."" https://t.co/rJ9eGXvGxI",72
72,0.0,Sun Mar 04 16:25:00 +0000 2018,0.0,@FoxNews,1.0,0.0,"Scaramucci rips Kelly, saying he's trying to 'lance the boil' in White House https://t.co/kuDAIgO4ER",73
73,0.128,Sun Mar 04 16:16:00 +0000 2018,0.046,@FoxNews,0.897,0.057,".@GovMikeHuckabee: ""Tell me what would happen in Hollywood if you said, 'You can never show an AR-15, an M-16, a fully automatic or a semi-automatic, either one, onscreen again. You cannot show them onscreen.'... Would they accept a restriction of their 1st Amendment rights? No."" https://t.co/r8oeOUapKc",74
74,-0.7845,Sun Mar 04 16:12:57 +0000 2018,0.291,@FoxNews,0.607,0.102,"RT @EricShawnTV: Taylor Force was a West Point grad. murdered by a terrorist. The killer's family is rewarded with our taxpayer $$, say sup…",75
75,-0.25,Sun Mar 04 16:10:00 +0000 2018,0.231,@FoxNews,0.591,0.177,California avalanche rescue caught in dramatic video as winter storm leaves 2 dead  https://t.co/dAyK6QfvJt,76
76,0.0,Sun Mar 04 16:09:24 +0000 2018,0.0,@FoxNews,1.0,0.0,"On ""Sunday Morning Futures with @MariaBartiromo,"" @CommerceGov @SecretaryRoss gave his take on the past and future of U.S. trade deals. https://t.co/E0tKkTsL5p https://t.co/nCAjPI07D2",77
77,0.4019,Sun Mar 04 16:04:00 +0000 2018,0.0,@FoxNews,0.906,0.094,".@RepMattGaetz: ""It’s absolutely time for Jeff Sessions to either appoint a second special counsel… or have someone step into that job that can actually do the job.” https://t.co/dNDHlDKOJL",78
78,0.3612,Sun Mar 04 15:59:00 +0000 2018,0.0,@FoxNews,0.946,0.054,".@TGowdySC: ""This Democrat memo makes me smile. If it were up to @AdamSchiffCA... it would've been a haiku and not a memo because he did everything he could to keep us finding out any of the information that was in either of those memos."" #SundayFutures @MariaBartiromo https://t.co/HjwVmCzBgi",79
79,-0.296,Sun Mar 04 15:58:19 +0000 2018,0.196,@FoxNews,0.804,0.0,".@GovMikeHuckabee: ""No NRA member has ever been a mass shooter."" https://t.co/xDsz9C7rWj",80
80,0.128,Sun Mar 04 15:55:20 +0000 2018,0.046,@FoxNews,0.897,0.057,".@GovMikeHuckabee: ""Tell me what would happen in Hollywood if you said, 'You can never show an AR-15, an M-16, a fully automatic or a semi-automatic, either one, onscreen again. You cannot show them onscreen.'... Would they accept a restriction of their 1st Amendment rights? No."" https://t.co/AuossyHYxe",81
81,0.0772,Sun Mar 04 15:53:00 +0000 2018,0.0,@FoxNews,0.944,0.056,".@TGowdySC: ""I want to know everything that happened in 2016, and whether Andy McCabe was leaking for or against @HillaryClinton."" #SundayFutures @MariaBartiromo https://t.co/nWvcp9Yj96",82
82,0.0772,Sun Mar 04 15:52:29 +0000 2018,0.0,@FoxNews,0.974,0.026,".@GovMikeHuckabee: ""40 different visits to this person's home - &amp; if that wasn't a red flag, that was a thousand red flags. The @FBI had this guy, his Facebook post saying 'I want to be a school shooter,' &amp; they said, 'We couldn't find him,' even though his name was on the post."" https://t.co/eesbQpBa36",83
83,-0.367,Sun Mar 04 15:50:11 +0000 2018,0.06,@FoxNews,0.915,0.025,".@GovMikeHuckabee: ""If we're not taking care of the laws we have, I guess a lot of people are asking, 'Why would a new law suddenly matter when the old laws that aren't being followed haven't yet changed the course of human behavior?'"" #SundayFutures @MariaBartiromo https://t.co/GvTYnJBX0E",84
84,0.6369,Sun Mar 04 15:48:07 +0000 2018,0.0,@FoxNews,0.864,0.136,"Fmr. NYPD Commissioner Ray Kelly: ""We have to give credit where credit is due and that's to President Trump. He raised issues that probably would never have seen the light of day."" #SundayFutures @MariaBartiromo https://t.co/8GkOevHy60",85
